Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login/usuario,110043,44118,140.0,562.2391094763866,98.35362800004077,20496.790709000037,360.49770544241795,167.0805929844822,66.9852839461791,140,270,870,910,980,1100,4600,6800,13000,15000,20000
,Aggregated,110043,44118,140.0,562.2391094763866,98.35362800004077,20496.790709000037,360.49770544241795,167.0805929844822,66.9852839461791,140,270,870,910,980,1100,4600,6800,13000,15000,20000
