Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/login/usuario,66184,0,10000.0,14686.178146389439,99.6682659997532,41401.87750299992,578.0,23.982507290167696,0.0,10000,16000,20000,24000,32000,36000,39000,40000,41000,41000,41000
,Aggregated,66184,0,10000.0,14686.178146389439,99.6682659997532,41401.87750299992,578.0,23.982507290167696,0.0,10000,16000,20000,24000,32000,36000,39000,40000,41000,41000,41000
